Estate Name,Street Name,House Type,HLC
Jakande,Golden,Flat/Bungalow/Duplex,30.0
Jakande,Opposite Ilasan school,Flat/Bungalow/Duplex,20.0
Jakande,Ilasan Secondary School,Flat/Bungalow/Duplex,17.0
Jakande,Opposite Ilasan Secondary School,Others,7.0
Jakande,Opposite Ilasan Secondary School,Flat/Bungalow/Duplex,15.0
Jakande,"Lekki Road, White Sand",Others,3.0
Jakande,Lastma Road,Face-To-Face,19.0
Agungi,Ilaje,Face-To-Face,1.0
Jakande,Police Station Road,Face-To-Face,10.0
Salem Bus Stop,Awosika,MakeShift,20.0
Igbo Efon,Fubarak,MakeShift,10.0
Salem Bus Stop,Arike George,MakeShift,2.0
Jakande,First Gate,MakeShift,11.0
Jakande,Alhaji,MakeShift,2.0
Jakande,Jakande,Flat/Bungalow/Duplex,30.0
Jakande,Jakande,Face-To-Face,12.0
Jakande,Jakande,Face-To-Face,21.0
Jakande,Jakande,Face-To-Face,6.0
Jakande,Jakande,Flat/Bungalow/Duplex,28.0
Jakande,Leisure Land,MakeShift,5.0
Aro Town,Aro,MakeShift,2.0
Jakande,Jakande,Face-To-Face,30.0
Jakande,Jakande,MakeShift,20.0
Jakande,Jakande,MakeShift,21.0
Jakande,Megland Building,Face-To-Face,6.0
Jakande,Ghana School Area,Flat/Bungalow/Duplex,15.0
Jakande,Police Station Road,Flat/Bungalow/Duplex,2.0
Jakande,Jakande First Gate,Face-To-Face,10.0
Jakande,Behind Police Station,MakeShift,8.0
Jakande,Silverbird,MakeShift,3.0
Jakande,Jakande,Flat/Bungalow/Duplex,4.0
Jakande,Jakande,MakeShift,8.0
Jakande,Jakande,MakeShift,6.0
Jakande,"Off Ghana School, Lekki Beach Road",MakeShift,5.0
Jakande,Back of police station,MakeShift,20.0
Jakande,Jakande,MakeShift,5.0
Near Emadeb Energy Filling Station,Ologolo Road,BQ,20.0
VGC,Road 3,Flat/Bungalow/Duplex,4.0
Westwood,Sir Kecee,Face-To-Face,2.0
Osapa,Six Avenue,Face-To-Face,15.0
Mayegun Town,Lawal,MakeShift,16.0
Gbara,Alhaji Semiu,Face-To-Face,23.0
Jakande,Nas Quarter,Face-To-Face,1.0
Gbara,"Ologolo, Baale House",Face-To-Face,1.0
Ilasan Housing Estate,Last Quarter,Flat/Bungalow/Duplex,12.0
Ilasan Housing Estate,"1st gate, Silverbird Road",Flat/Bungalow/Duplex,0.25
Ilasan Housing Estate,Last Quarter,Flat/Bungalow/Duplex,18.0
Ilasan Housing Estate,Last Quarter,Flat/Bungalow/Duplex,22.0
Ilasan Housing Estate,Jakande,Flat/Bungalow/Duplex,8.0
Ilasan Housing Estate,Jakande,Flat/Bungalow/Duplex,8.0
Ilasan Housing Estate,Jakande,Flat/Bungalow/Duplex,26.0
Ilasan Housing Estate,Jakande,Flat/Bungalow/Duplex,10.0
Ilasan Housing Estate,Jakande,Flat/Bungalow/Duplex,17.0
Ilasan Housing Estate,Jakande,Flat/Bungalow/Duplex,28.0
Ilasan Housing Estate,Jakande,MakeShift,28.0
Ilasan Housing Estate,"Ilasan Secondary School, Jakande",MakeShift,10.0
Ilasan Housing Estate,Beside Ilasan Secondary School,Flat/Bungalow/Duplex,2.0
Ilasan Housing Estate,Jakande,Others,2.0
Ilasan Housing Estate,Jakande,Flat/Bungalow/Duplex,5.0
Ilasan Housing Estate,Jakande,Flat/Bungalow/Duplex,7.0
Ilasan Housing Estate,Jakande,Flat/Bungalow/Duplex,40.0
Ilasan Housing Estate,Jakande,Flat/Bungalow/Duplex,6.0
Ilasan Housing Estate,Jakande,Flat/Bungalow/Duplex,15.0
Ilasan Housing Estate,Jakande,Face-To-Face,20.0
Jakande Idi-Aba,Mayegun,MakeShift,10.0
Ologolo,Baale,Face-To-Face,5.0
Ologolo,Baale Computer School Side,Face-To-Face,10.0
Ologolo Road,Mayegun Axis,Face-To-Face,2.0
Ologolo Road,Mayegun,Face-To-Face,30.0
Ologolo Road - Mayegun Axis,Lawal,Face-To-Face,35.0
Ilasan Housing Estate,"Information Centre, Jakande",Flat/Bungalow/Duplex,17.0
Ilasan Housing Estate,"Goden Street, Jakande",Flat/Bungalow/Duplex,3.0
Ilasan Housing Estate,"Information Centre, jakande",Flat/Bungalow/Duplex,5.0
Ilasan Housing Estate,Radionic,Flat/Bungalow/Duplex,5.0
Ilasan Housing Estate,Radionic oad,Flat/Bungalow/Duplex,3.0
Ilasan Housing Estate,Jakande,Others,20.0
Ilasan New Road,Baale,Flat/Bungalow/Duplex,6.0
Ilasan Housing Estate,Jakande,Flat/Bungalow/Duplex,20.0
Ilasan Housing Estate," Last Transformer, Jakande",MakeShift,2.0
Ilasan Housing Estate,Jakande,Flat/Bungalow/Duplex,25.0
Ilasan Housing Estate,Jakande,Flat/Bungalow/Duplex,3.0
Ilasan Housing Estate,Jakande,Others,2.0
Ilasan Housing Estate,Jakande,Flat/Bungalow/Duplex,4.0
Maiyegun,Mayeigun,Face-To-Face,25.0
Ilasan Housing Estate,"Radionic Road, Jakande",Face-To-Face,5.0
Aro Town,Baale,MakeShift,2.0
Ilasan Housing Estate,Police Station,Flat/Bungalow/Duplex,3.0
Alpha Beach,Bawire,MakeShift,0.25
Alpha Beach,Barwire,MakeShift,5.0
Ocean Beach,Ocean Beach,MakeShift,5.0
Owode Forest,Owode Forest,MakeShift,4.0
Owode Road,Owode Road,Flat/Bungalow/Duplex,0.08
Jakande First Gate,First Gate,Face-To-Face,18.0
Jakande Estate,Siverbird street,Flat/Bungalow/Duplex,18.0
Jakande Estate,Silverbird,Flat/Bungalow/Duplex,0.08
Jakade Estate,Silverbird Road,MakeShift,12.0
Jakande Estate,Silverbird street,MakeShift,1.0
Jakande Estate,Silverbed road,Flat/Bungalow/Duplex,6.0
Jakande Housing Estate,Silverbird Road opposite Reedemed church,Face-To-Face,4.0
Jakande Estate First Gate, (The house is located opp Reedemed church),Face-To-Face,2.0
Jakande Housng Estate,Police Station road,Face-To-Face,2.0
Jakande first Gate,Police station street,Face-To-Face,2.0
Jakande First Gate,Silverbed last quarter,Flat/Bungalow/Duplex,6.0
Alpha beach,Sasanya street,Flat/Bungalow/Duplex,13.0
Alpha Beach,Sasanya Street,MakeShift,16.0
Alpha Beach,Sasanya,Face-To-Face,18.0
Alpha Beach,Baale street,Face-To-Face,12.0
Aro Town,Aro Street,MakeShift,2.0
Aro Town,Aro Street,MakeShift,2.0
Aro Town,Aro Street,MakeShift,4.0
Aro Town,Aro mid-shift,MakeShift,3.0
Jakande Housing Estate,Police Road,Face-To-Face,4.0
Jakande Housing Estate,Police station road,Face-To-Face,10.0
